bugID,hour,week_day,month_day,month,year_day,component,title_size,platform,severity,priority,cc_count,comment_size,invalid_status,is_closed,patch_count,fixing_time,reopened_count,triaging_time,uptime,developer_count,reporter_exp,assignee_exp,region
363272,4,Sat,9,Dec,343,23,14,x86,critical,--,4,87,YES,1,0,18,0,-1,119.0,4,3,27,isolated
363696,3,Wed,13,Dec,347,23,9,PowerPC,critical,P4,14,158,YES,1,5,7621,1,-1,98.5,17,32,1,moderate
363813,2,Thu,14,Dec,348,23,14,x86,critical,--,5,145,NO,1,5,828,0,-1,313.0,8,21,6,moderate
364007,15,Fri,15,Dec,349,177,12,x86,critical,--,5,428,YES,1,0,34393,0,-1,1338.0,3,1,2,isolated
364427,0,Wed,20,Dec,354,23,10,PowerPC,critical,--,7,96,NO,1,0,832,0,-1,624.0,7,33,8,isolated
366128,2,Sat,6,Jan,6,300,11,All,critical,--,14,111,NO,1,4,3792,0,151.84,271.0,14,34,7,isolated
366320,8,Mon,8,Jan,8,23,14,All,critical,--,5,91,NO,1,2,1090,0,-1,82.5,8,22,11,isolated
366956,4,Sun,14,Jan,14,153,18,All,critical,--,8,137,NO,1,2,255,0,-1,193.0,10,35,13,moderate
367755,9,Mon,22,Jan,22,16,3,PowerPC,critical,--,5,90,YES,1,0,50,0,-1,446.0,7,36,28,isolated
368670,0,Tue,30,Jan,30,539,13,x86,critical,--,7,96,YES,1,0,22990,0,-1,206.5,9,1,29,isolated
368740,13,Tue,30,Jan,30,23,15,All,critical,P1,7,110,NO,1,1,7,0,0.05,439.0,9,23,14,moderate
369547,15,Tue,6,Feb,37,23,11,All,critical,P3,16,148,YES,1,1,13476,0,-1,30903.0,18,24,12,isolated
370403,10,Wed,14,Feb,45,119,8,All,critical,--,14,2978,NO,1,0,44085,0,-1,253.0,10,3,30,moderate
370789,19,Sat,17,Feb,48,119,12,x86,critical,--,4,147,YES,1,0,2088,0,-1,552.0,5,37,3,isolated
370791,21,Sat,17,Feb,48,134,9,x86,critical,--,3,64,NO,1,1,1198,0,-1,777.0,5,38,5,isolated
371135,8,Wed,21,Feb,52,498,5,x86,critical,--,13,89,NO,1,1,1877,0,47.14,20.0,15,1,1,isolated
372373,4,Fri,2,Mar,61,23,8,x86,critical,P2,13,61,YES,1,1,1118,1,2.56,221.0,9,25,31,isolated
373344,9,Fri,9,Mar,68,13,12,x86,critical,P2,15,151,NO,1,8,1832,1,-1,180.0,19,2,5,isolated
373533,4,Sun,11,Mar,70,23,9,x86,critical,P3,11,98,YES,1,4,5889,0,121.42,99.5,13,39,1,isolated
373919,7,Wed,14,Mar,73,23,12,All,critical,--,11,82,NO,1,0,2029,0,-1,495.0,12,26,8,moderate
374468,8,Mon,19,Mar,78,23,10,x86,critical,P3,5,102,YES,1,1,5599,0,112.3,442.0,8,27,1,isolated
375399,6,Mon,26,Mar,85,49,14,All,critical,--,13,61,NO,1,2,952,0,-1,9.0,12,28,9,isolated
376193,14,Sun,1,Apr,91,168,6,x86,critical,--,5,791,YES,1,0,32825,0,-1,278.0,6,1,32,moderate
377491,7,Sat,14,Apr,104,7,10,x86,critical,--,5,142,YES,1,0,42339,0,-1,9.0,6,2,33,isolated
377783,9,Tue,17,Apr,107,258,9,x86,critical,--,7,126,NO,1,4,1895,0,-1,403.0,8,29,2,high
378325,17,Sat,21,Apr,111,13,12,x86,critical,--,4,65,NO,1,2,29,0,0.45,307.0,8,30,6,isolated
378682,16,Tue,24,Apr,114,23,10,x86,critical,--,11,98,NO,1,3,61,0,-1,78.5,11,31,13,isolated
379343,5,Tue,1,May,121,159,6,x86,critical,--,2,453,YES,1,0,33222,0,-1,173.0,6,1,34,isolated
381010,2,Thu,17,May,137,258,5,x86,critical,--,10,76,YES,1,0,1100,0,-1,136.0,8,3,3,moderate
383129,6,Mon,4,Jun,155,23,8,x86,critical,--,11,62,NO,1,2,709,0,13.46,313.0,11,32,9,isolated
383305,8,Tue,5,Jun,156,23,7,x86,critical,--,3,1017,YES,1,0,39361,0,-1,265.0,6,1,35,isolated
383977,17,Sun,10,Jun,161,114,11,All,normal,--,4,158,NO,1,2,625,0,1.86,53.5,7,1,1,isolated
